  36.0         .708E-01     .111    
  36.1         .586E-01     .934E-01
  36.3         .475E-01     .769E-01
  36.4         .379E-01     .623E-01
  36.6         .299E-01     .500E-01
  36.8         .238E-01     .404E-01
  36.9         .196E-01     .339E-01
  37.0         .174E-01     .304E-01
  37.2         .169E-01     .301E-01
  37.4         .180E-01     .326E-01
  37.5         .206E-01     .378E-01
  37.6         .242E-01     .451E-01
  37.8         .287E-01     .542E-01
  37.9         .336E-01     .645E-01
  38.1         .386E-01     .754E-01
  38.2         .435E-01     .862E-01
  38.4         .480E-01     .965E-01
  38.5         .518E-01     .106    
  38.7         .548E-01     .113    
  38.9         .567E-01     .119    
  39.0         .576E-01     .123    
  39.1         .575E-01     .124    
  39.3         .562E-01     .124    
  39.4         .540E-01     .121    
  39.6         .510E-01     .115    
  39.8         .472E-01     .108    
  39.9         .430E-01     .100    
  40.0         .383E-01     .906E-01
  40.2         .336E-01     .805E-01
  40.4         .289E-01     .702E-01
  40.5         .244E-01     .601E-01
  40.6         .202E-01     .506E-01
  40.8         .166E-01     .420E-01
  40.9         .135E-01     .348E-01
  41.1         .111E-01     .290E-01
  41.2         .938E-02     .248E-01
  41.4         .834E-02     .224E-01
  41.5         .795E-02     .216E-01
  41.7         .816E-02     .225E-01
  41.9         .888E-02     .248E-01
  42.0         .100E-01     .284E-01
  42.1         .115E-01     .330E-01
  42.3         .131E-01     .382E-01
  42.4         .148E-01     .438E-01
  42.6         .165E-01     .495E-01
  42.8         .181E-01     .549E-01
  42.9         .195E-01     .598E-01
  43.0         .205E-01     .640E-01
  43.2         .213E-01     .672E-01
  43.4         .217E-01     .694E-01
  43.5         .217E-01     .704E-01
  43.6         .214E-01     .702E-01
  43.8         .207E-01     .688E-01
  43.9         .197E-01     .664E-01
  44.1         .184E-01     .630E-01
  44.2         .170E-01     .588E-01
  44.4         .154E-01     .541E-01
  44.5         .138E-01     .489E-01
  44.7         .121E-01     .436E-01
  44.9         .105E-01     .383E-01
  45.0         .901E-02     .332E-01
  45.1         .766E-02     .286E-01
  45.3         .648E-02     .245E-01
  45.4         .552E-02     .211E-01
  45.6         .477E-02     .185E-01
  45.8         .425E-02     .167E-01
  45.9         .395E-02     .157E-01
  46.0         .384E-02     .155E-01
  46.2         .392E-02     .160E-01
  46.4         .415E-02     .171E-01
  46.5         .450E-02     .188E-01
  46.6         .493E-02     .208E-01
  46.8         .541E-02     .232E-01
  46.9         .591E-02     .256E-01
  47.1         .639E-02     .280E-01
  47.2         .683E-02     .303E-01
  47.4         .720E-02     .323E-01
  47.5         .749E-02     .340E-01
  47.7         .767E-02     .353E-01
  47.9         .775E-02     .361E-01
  48.0         .773E-02     .364E-01
  48.1         .760E-02     .362E-01
  48.3         .737E-02     .355E-01
  48.4         .706E-02     .344E-01
  48.6         .667E-02     .329E-01
  48.8         .623E-02     .311E-01
  48.9         .575E-02     .290E-01
