8.8914e+01	1.3145e+03	2.1116e-01
8.8805e+01	1.0323e+03	2.5550e-01
8.8697e+01	9.0227e+02	3.0406e-01
8.8588e+01	8.6301e+02	3.5684e-01
8.8480e+01	8.8042e+02	4.1384e-01
8.8371e+01	9.4081e+02	4.7506e-01
8.8263e+01	1.0301e+03	5.4050e-01
8.8154e+01	1.1285e+03	6.1016e-01
8.8045e+01	1.2275e+03	6.8404e-01
8.7937e+01	1.3257e+03	7.6213e-01
8.7828e+01	1.4074e+03	8.4444e-01
8.7720e+01	1.4715e+03	9.3096e-01
8.7611e+01	1.4993e+03	1.0217e+00
8.7503e+01	1.5003e+03	1.1167e+00
8.7394e+01	1.4604e+03	1.2158e+00
8.7286e+01	1.3872e+03	1.3192e+00
8.7177e+01	1.2867e+03	1.4268e+00
8.7069e+01	1.1652e+03	1.5386e+00
8.6960e+01	1.0281e+03	1.6546e+00
8.6852e+01	8.7297e+02	1.7748e+00
8.6743e+01	7.2234e+02	1.8992e+00
8.6635e+01	5.7819e+02	2.0278e+00
8.6526e+01	4.4613e+02	2.1607e+00
8.6418e+01	3.2851e+02	2.2977e+00
8.6309e+01	2.3104e+02	2.4389e+00
8.6201e+01	1.5280e+02	2.5843e+00
8.6092e+01	9.4434e+01	2.7340e+00
8.5984e+01	5.3592e+01	2.8878e+00
8.5875e+01	2.7086e+01	3.0458e+00
8.5767e+01	1.1709e+01	3.2080e+00
8.5659e+01	4.0288e+00	3.3744e+00
8.5550e+01	9.3468e-01	3.5450e+00
8.5442e+01	9.8271e-02	3.7198e+00
8.5333e+01	1.9904e-03	3.8988e+00
8.5225e+01	2.1329e-02	4.0819e+00
8.5117e+01	3.5112e-01	4.2693e+00
8.5008e+01	1.8344e+00	4.4608e+00
8.4900e+01	5.6921e+00	4.6565e+00
8.4792e+01	1.3307e+01	4.8564e+00
8.4683e+01	2.5828e+01	5.0604e+00
8.4575e+01	4.4003e+01	5.2686e+00
8.4467e+01	6.7941e+01	5.4810e+00
8.4358e+01	9.7511e+01	5.6976e+00
8.4250e+01	1.3100e+02	5.9183e+00
