  5.40         975.         110.    
  5.55         860.         108.    
  5.70         754.         106.    
  5.85         656.         102.    
  6.00         566.         97.3    
  6.15         484.         91.9    
  6.30         410.         85.7    
  6.45         344.         78.9    
  6.60         284.         71.5    
  6.75         232.         63.9    
  6.90         186.         56.0    
  7.05         147.         48.1    
  7.20         113.         40.3    
  7.35         84.8         32.8    
  7.50         61.5         25.8    
  7.65         42.7         19.4    
  7.80         28.1         13.8    
  7.95         17.1         9.07    
  8.10         9.47         5.40    
  8.25         4.68         2.87    
  8.40         2.36         1.56    
  8.55         2.14         1.51    
  8.70         3.65         2.77    
  8.85         6.57         5.34    
  9.00         10.6         9.19    
  9.15         15.4         14.3    
  9.30         20.8         20.5    
  9.45         26.4         27.9    
  9.60         32.2         36.2    
  9.75         37.9         45.2    
  9.90         43.3         55.0    
  10.0         48.4         65.2    
  10.2         53.0         75.8    
  10.3         57.0         86.5    
  10.5         60.4         97.0    
  10.7         63.2         107.    
  10.8         65.2         117.    
  10.9         66.6         126.    
  11.1         67.3         135.    
  11.2         67.3         142.    
  11.4         66.8         149.    
  11.5         65.6         154.    
  11.7         63.9         158.    
  11.8         61.7         161.    
  12.0         59.1         162.    
  12.2         56.2         162.    
  12.3         53.0         160.    
  12.4         49.5         157.    
  12.6         45.9         153.    
  12.8         42.2         147.    
  12.9         38.5         141.    
  13.0         34.8         133.    
  13.2         31.1         125.    
  13.3         27.6         115.    
  13.5         24.2         106.    
  13.7         21.0         95.9    
  13.8         18.0         85.8    
  13.9         15.2         75.7    
  14.1         12.7         65.8    
  14.2         10.4         56.3    
  14.4         8.36         47.3    
  14.5         6.60         38.9    
  14.7         5.11         31.4    
  14.8         3.87         24.7    
  15.0         2.87         19.1    
  15.1         2.10         14.5    
  15.3         1.54         11.1    
  15.4         1.18         8.79    
  15.6         .988         7.68    
  15.8         .956         7.72    
  15.9         1.06         8.87    
  16.1         1.27         11.1    
  16.2         1.58         14.3    
  16.3         1.96         18.4    
  16.5         2.40         23.3    
  16.6         2.87         28.9    
  16.8         3.36         35.0    
  16.9         3.85         41.6    
  17.1         4.33         48.4    
  17.2         4.78         55.4    
  17.4         5.21         62.5    
  17.6         5.59         69.4    
  17.7         5.92         76.1    
  17.8         6.21         82.4    
  18.0         6.43         88.2    
  18.1         6.59         93.5    
  18.3         6.70         98.2    
  18.4         6.75         102.    
  18.6         6.74         105.    
  18.8         6.67         108.    
  18.9         6.55         109.    
  19.1         6.39         110.    
  19.2         6.19         110.    
  19.3         5.95         109.    
  19.5         5.68         107.    
  19.6         5.38         105.    
  19.8         5.07         101.    
  19.9         4.74         97.7    
  20.1         4.40         93.4    
  20.2         4.05         88.7    
  20.4         3.71         83.6    
  20.6         3.37         78.2    
  20.7         3.04         72.6    
  20.8         2.72         66.9    
  21.0         2.42         61.1    
  21.1         2.13         55.5    
  21.3         1.87         49.9    
  21.4         1.62         44.5    
  21.6         1.40         39.4    
  21.8         1.19         34.6    
  21.9         1.01         30.2    
  22.1         .854         26.2    
  22.2         .718         22.6    
  22.3         .602         19.5    
  22.5         .507         16.8    
  22.6         .430         14.7    
  22.8         .371         13.0    
  22.9         .327         11.7    
  23.1         .298         11.0    
  23.2         .282         10.7    
  23.4         .277         10.7    
  23.6         .282         11.2    
  23.7         .294         12.0    
  23.8         .313         13.1    
  24.0         .338         14.5    
  24.1         .366         16.0    
  24.3         .396         17.8    
  24.4         .428         19.7    
  24.6         .461         21.7    
  24.8         .493         23.8    
  24.9         .523         25.9    
  25.1         .552         28.0    
  25.2         .579         30.0    
  25.3         .602         32.0    
  25.5         .623         33.9    
  25.6         .640         35.6    
  25.8         .654         37.2    
  25.9         .664         38.6    
  26.1         .670         39.9    
  26.2         .673         41.0    
  26.4         .672         41.9    
  26.6         .668         42.6    
  26.7         .661         43.1    
  26.8         .651         43.4    
  27.0         .639         43.5    
  27.1         .624         43.4    
  27.3         .607         43.1    
  27.4         .588         42.7    
  27.6         .567         42.1    
  27.8         .546         41.3    
  27.9         .523         40.4    
  28.1         .499         39.4    
  28.2         .474         38.3    
  28.3         .449         37.0    
  28.5         .424         35.7    
  28.6         .399         34.2    
  28.8         .374         32.7    
  28.9         .349         31.2    
  29.1         .324         29.6    
  29.2         .301         28.0    
  29.4         .277         26.4    
  29.5         .255         24.7    
  29.7         .234         23.1    
  29.8         .213         21.5    
  30.0         .194         19.9    
  30.1         .175         18.4    
  30.3         .158         16.9    
  30.4         .142         15.5    
  30.6         .127         14.1    
  30.8         .114         12.9    
  30.9         .101         11.7    
  31.0         .902E-01     10.6    
  31.2         .805E-01     9.64    
  31.3         .719E-01     8.78    
  31.5         .647E-01     8.04    
  31.6         .586E-01     7.43    
  31.8         .538E-01     6.94    
  31.9         .501E-01     6.59    
  32.1         .475E-01     6.37    
  32.2         .461E-01     6.28    
  32.4         .456E-01     6.33    
  32.5         .461E-01     6.52    
  32.7         .475E-01     6.84    
  32.9         .497E-01     7.28    
  33.0         .527E-01     7.86    
  33.1         .563E-01     8.55    
  33.3         .605E-01     9.35    
  33.4         .652E-01     10.2    
  33.6         .703E-01     11.2    
  33.8         .757E-01     12.3    
  33.9         .813E-01     13.5    
  34.0         .870E-01     14.7    
  34.2         .928E-01     15.9    
  34.4         .985E-01     17.2    
  34.5         .104         18.4    
  34.6         .109         19.7    
  34.8         .114         20.9    
  34.9         .119         22.1    
  35.1         .123         23.3    
  35.2         .126         24.4    
  35.4         .129         25.3    
  35.5         .132         26.2    
  35.7         .133         27.0    
  35.9         .134         27.6    
  36.0         .135         28.1    
